WISE Name,Catalog,GLong,GLat,RA,Dec,Radius,HII Region,Membership,VLSR,VLSR (Mol.),Molecule,KDAR,Dist.,Err Dist.,Dist. Method,RGal,z
G302.160+00.064,C,302.161,0.065,191.172,-62.797,154,,,,,,,,,,,
G302.209-00.912,Q,302.209,-0.912,191.224,-63.774,24,,,,,,,,,,,
G302.252+00.014,C,302.252,0.014,191.369,-62.850,57,,,,,,,,,,,
G302.270+00.073,C,302.270,0.073,191.412,-62.791,326,,,,,,,,,,,
G302.384+00.294,Q,302.384,0.294,191.670,-62.573,31,,,,-43.6,NH3,T,04.6,00.1,TP/Kin (Mol),07.2,0023
G302.391+00.280,C,302.391,0.281,191.685,-62.586,89,,,,-43.6,NH3,T,04.6,00.1,TP/Kin (Mol),07.2,0022
G302.436-00.106,C,302.436,-0.106,191.768,-62.973,119,,,,,,,,,,,
G302.441-00.131,Q,302.441,-0.130,191.778,-62.998,34,,,,,,,,,,,
G302.453-00.740,Q,302.453,-0.740,191.782,-63.608,46,,G302.504-00.749,,35.3,13CO,F,12.6,01.2,OG (Mol)/Kin,10.7,-162
G302.460-00.031,Q,302.460,-0.031,191.824,-62.899,42,,,,,,,,,,,
G302.481-00.035,C,302.481,-0.034,191.869,-62.903,91,,,,-35.1,CS,T,04.6,00.7,TP/Kin (Mol),07.2,-002
G302.503-00.762,K,302.503,-0.762,191.894,-63.630,251,G302.504-00.749,G302.504-00.749,31.0,,,F,12.1,01.2,OG/Kin,10.4,-161
G302.582-00.083,K,302.582,-0.083,192.090,-62.952,470,G302.504-00.749,G302.504-00.749,31.0,,,F,12.2,01.2,OG/Kin,10.4,-017
G302.586-00.029,Q,302.586,-0.028,192.100,-62.898,64,,,,,,,,,,,
G302.614-00.756,C,302.614,-0.756,192.144,-63.626,847,,,,,,,,,,,
G302.631+00.030,K,302.631,0.030,192.200,-62.840,860,G302.690+00.190,,-33.0,,,T,04.6,01.3,TP/Kin,07.3,0002
G302.636-00.672,C,302.636,-0.671,192.195,-63.541,159,,,,,,,,,,,
G302.671-00.677,Q,302.671,-0.676,192.274,-63.547,38,,,,,,,,,,,
G302.722-00.816,C,302.722,-0.815,192.386,-63.686,250,,,,,,,,,,,
G302.739-00.618,Q,302.739,-0.618,192.427,-63.489,52,,,,,,,,,,,
G302.758+00.776,Q,302.758,0.776,192.488,-62.095,47,,,,,,,,,,,
G302.805+01.287,K,302.805,1.287,192.593,-61.584,197,G302.804+01.306; RCW71,,-32.0,,,T,04.6,01.5,TP/Kin,07.3,0103
G302.816-00.844,C,302.816,-0.843,192.598,-63.715,82,,,,,,,,,,,
G302.924-00.432,Q,302.924,-0.432,192.842,-63.304,97,,,,,,,,,,,
G302.964-00.540,Q,302.964,-0.539,192.931,-63.411,97,,,,,,,,,,,
G302.988+00.351,Q,302.988,0.352,192.981,-62.520,52,,,,-39.9,90GHz,T,04.6,00.1,TP/Kin (Mol),07.1,0028
G303.058+00.165,C,303.058,0.166,193.134,-62.706,169,,,,,,,,,,,
G303.073-00.930,G,303.073,-0.929,193.179,-63.801,259,,G303.115-00.947,,,,,,,,,
G303.116+00.079,C,303.116,0.080,193.262,-62.791,406,,,,,,,,,,,
G303.116-00.971,K,303.116,-0.971,193.277,-63.842,119,G303.115-00.947,G303.115-00.947,26.0,26.0,CS,F,11.8,01.1,OG/Kin,10.1,-200
G303.137-00.887,G,303.137,-0.886,193.323,-63.757,88,,G303.115-00.947,,,,,,,,,
G303.163+00.422,C,303.163,0.422,193.359,-62.448,119,,,,,,,,,,,
G303.232-00.896,G,303.232,-0.896,193.538,-63.766,339,,G303.115-00.947,,,,,,,,,
G303.257-00.736,Q,303.257,-0.736,193.591,-63.606,40,,,,,,,,,,,
G303.310-00.524,Q,303.310,-0.523,193.704,-63.393,57,,,,,,,,,,,
G303.320-00.755,Q,303.320,-0.755,193.733,-63.624,41,,,,,,,,,,,
G303.342-00.718,C,303.342,-0.717,193.781,-63.586,57,,,,,,,,,,,
G303.345+01.821,?,303.346,1.821,193.714,-61.048,80,,,,,,,,,,,
G303.384-00.965,C,303.384,-0.964,193.886,-63.833,81,,,,,,,,,,,
G303.413-00.312,C,303.413,-0.311,193.926,-63.179,137,,,,,,,,,,,
G303.445-00.745,K,303.445,-0.744,194.014,-63.611,435,G303.500-00.700,,32.0,,,F,12.5,01.2,OG/Kin,10.5,-161
G303.451-00.553,Q,303.451,-0.553,194.020,-63.420,43,,,,,,,,,,,
G303.467-00.711,Q,303.467,-0.710,194.062,-63.577,26,,,,,,,,,,,
G303.484-00.460,C,303.484,-0.460,194.089,-63.326,44,,,,24.8,CS,F,11.8,01.1,OG (Mol)/Kin,10.0,-094
G303.540+00.087,Q,303.540,0.087,194.189,-62.778,81,,,,,,,,,,,
G303.557-00.539,C,303.557,-0.539,194.256,-63.404,107,,,,,,,,,,,
G303.572-00.868,Q,303.572,-0.868,194.306,-63.732,31,,,,,,,,,,,
G303.593-00.631,C,303.593,-0.631,194.341,-63.495,142,,,,,,,,,,,
G303.634+01.359,?,303.634,1.360,194.331,-61.504,257,,,,,,,,,,,
G303.684+01.520,?,303.684,1.521,194.427,-61.342,848,,,,,,,,,,,
G303.688-00.704,Q,303.688,-0.703,194.558,-63.565,124,,,,,,,,,,,
G303.829+00.111,C,303.829,0.112,194.819,-62.746,108,,,,,,,,,,,
G303.857-00.372,Q,303.857,-0.371,194.914,-63.228,24,,,,,,,,,,,
